direction,alpha,coherent,probe_layer,position,target,acc_unsteered,acc_steered,d_acc,margin_shift_sd,margin_sd_ratio,dcontrast
outcome_dom,0.2,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.2319
outcome_dom,0.2,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.2319
outcome_dom,0.2,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.2319
outcome_dom,0.2,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.2319
outcome_dom,0.2,True,24,downstream,intent,0.8926,0.698,-0.1946,-0.2994,0.714,0.2319
outcome_dom,0.2,True,24,downstream,outcome,0.9966,0.6678,-0.3289,0.7126,0.5969,0.2319
outcome_dom,0.2,True,32,final layer,intent,0.8624,0.651,-0.2114,-0.4888,0.805,0.2319
outcome_dom,0.2,True,32,final layer,outcome,0.9899,0.6946,-0.2953,0.7501,0.6745,0.2319
outcome_dom,0.3,False,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.3961
outcome_dom,0.3,False,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.3961
outcome_dom,0.3,False,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.3961
outcome_dom,0.3,False,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.3961
outcome_dom,0.3,False,24,downstream,intent,0.8926,0.6141,-0.2785,-0.4493,0.6567,0.3961
outcome_dom,0.3,False,24,downstream,outcome,0.9966,0.5168,-0.4799,0.902,0.3376,0.3961
outcome_dom,0.3,False,32,final layer,intent,0.8624,0.5268,-0.3356,-1.1666,0.7408,0.3961
outcome_dom,0.3,False,32,final layer,outcome,0.9899,0.5235,-0.4664,0.942,0.4222,0.3961
intent_probe,-0.3,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0128
intent_probe,-0.3,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0128
intent_probe,-0.3,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0128
intent_probe,-0.3,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0128
intent_probe,-0.3,True,24,downstream,intent,0.8926,0.5,-0.3926,-3.183,0.6159,-0.0128
intent_probe,-0.3,True,24,downstream,outcome,0.9966,0.9799,-0.0168,0.3363,0.8218,-0.0128
intent_probe,-0.3,True,32,final layer,intent,0.8624,0.5,-0.3624,-3.0211,0.7657,-0.0128
intent_probe,-0.3,True,32,final layer,outcome,0.9899,0.9832,-0.0067,0.3259,0.8099,-0.0128
intent_probe,-0.2,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0059
intent_probe,-0.2,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0059
intent_probe,-0.2,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0059
